titre_normalise,frequence
collision aviaire,207
collision aviaire 36l,205
baisse np sslia np7 iso np9 sans impact operationnel,153
collision aviaire 35l,153
collision aviaire 36r,136
collision aviaire 35r,118
collision aviaire 18l,78
collision aviaire 18r,75
collision aviaire sur 36l,74
collision aviaire 17r,57
collision aviaire 17l,56
collision aviaire sur 36r,56
refus priorite avion au repoussage,52
collision aviaire - sans dommage - zone a,48
fod hydraulique,45
deroutement sur lys cause couvre feu gva,44
baisse np sslia np7 iso np9 - pas d'impact operationnel,44
fod,43
baisse np sslia np7 iso np9 sans impact sur le trafic,41
collision animale 36l,40
passagers indisciplines (paxi),38
fod - fuite hydraulique,27
collision aviaire sur 18l,25
deroutement sur lys cause meteo,24
paxi,24
fuite hydraulique,24
collision animale 18r,24
refus priorite avion au roulage,23
retour parking cause probleme technique,23
repoussage non conforme,23
fod sur piste,22
baisse np incendie en np7 - pas d'impact operationnel,20
collision aviaire sur 18r,20
deroutement sur lys cause urgence medicale,19
collision oiseau/avion sur 36r,19
deroutement sur lys cause malade a bord,18
passager indiscipline (paxi),18
remise de gaz - approche non stabilisee,17
refus de priorite avion au repoussage,17
refus de priorite avion au roulage,16
deroutement sur lys,16
collision mammifere,15
acces ligne frontiere ouverte,15
collision animale 36r,15
collision aviaire - non averee,14
fod sur r3,14
collision animale 35l,14
collision animale 18l,14
collision animale sur 36l,14
fod - sacs poubelles,13
materiel genant,13
probleme technique avion,12
fod sur td,12
materiel genant c21,12
rupture etancheite ligne frontiere,11
materiel genant c43,11
refus de priorite avion avec feux anticollision allumes,10
paxi a l'enregistrement,10
intrusion pax cote piste,10
deroutement sur lys cause couvre feu bsl,10
deversement kerosene,10
fod sur tl,10
fod sur aire de trafic,9
deroutements sur lys cause couvre feu gva,9
"probleme technique avion, retour parking",9
suspicion collision aviaire - non averee,9
encombrement zep,9
fod sur tj,9
collision aviaire 35l non signalee,9
collision animale,8
fod - bris de verre,8
entrave au degagement d'urgence de l'avitailleur,8
fod sur vca,8
paxi - en porte d'embarquement,8
encombrement voie essencier c83,8
fod sur ta,8
fod sur tango,8
collision aviare 36l,8
refus de priorite en d26,8
collision aviaire en 36l,8
collision animale sur 36r,8
recherche oiseau sur 36l,8
remise de gaz cause approche non stabilisee,7
filet de soute mal installe constate a l'arrivee a lys,7
remise de gaz approche non stabilisee,7
fod kerosene,7
erreur de chargement constatee a l'arrivee a lys,7
baisse np sslia np7 iso np9,7
collision aviaire au decollage,7
fod sur tc,7
passagers indisciplines (paxi) - covid,7
collision aviaire 35r non signalee par pilote,7
collision animale 35r,7
collision aviaire18l,7
materiel genant c23,7
fod sur taxiway,6
fod hydraulique - surface superieure a 1m²,6
erreur placement avion au parking,6
refus priorite avion avec feux anticollisions allumes,6
fod glycol,6
fod gasoil,6
fod - debris de verre,6
non respect du psi,6
probleme technique avion en vol,6
baisse np sslia np5 iso np9 sans impact operationnel,6
remise de gaz,6
fod sur route de service,6
paxi - passager indiscipline,6
collision aviaire - avec dommage - zone a,6
encombrement parking avion,6
fod - fuite kerosene,6
baisse np sslia np7 iso np9 avec impact sur le trafic,6
fod sur voie de circulation avion,6
dangerosite escalier passerelles t1b,6
fod sur r1,6
fod sur 36l,6
materiel genant b63,6
collision animale sur 18r,6
refus de priorite par vl,6
fod sur tf,6
collision oiseau/avion sur 36l,6
paxi a l'embarquement,5
fod sur piste 35l,5
mauvais placement avion,5
fod hydraulique - surface inferieure a 1m²,5
fod - deversement kerosene,5
crochet inoperant sur prise 400hz,5
deroutement sur lys cause probleme technique,5
materiel genant en zec,5
baisse du niveau de protection sslia,5
baisse np sllia np7 iso np9 sans impact operationnel,5
suspicion collision aviaire,5
approche non stabilisee,5
fod sur b83,5
fod sur b91,5
dysfonctionnement balisage,5
fod sur parking avion,5
telephone dans le psi,5
fod - kerosene,5
stationnement genant,5
fod sur piste 35r,5
baisse np sslia en np5,5
refus de priorite avion,5
t1,5
collision aviaire en 35r,5
fod sur d21,5
fod - poubelles,5
quasi-collision vehicule avec avion,5
collision animale 17l,5
etare,5
fod sur j41,5
collision aviaire sur 35r,5
pax au telephone pendant l'avitaillement,5
telephone pendant l'avitaillement,5
fod sur c81,5
collision aviaire36l,5
pax fume pendant l'avitaillement,5
collision aviaire18r,5
fod sur piste 36l,5
materiels genants,5
collision aviaire ras,5
presence d'oiseaux 36r,5
materiel genant sur zep,4
fod - visserie et boulonnerie,4
stationnement gse sur zone rassemblement,4
retour parking cause technique,4
fod - vegetal,4
paxi debarques,4
paxi - politique bagage,4
etat de veille sslia,4
probleme technique avion a l'atterrissage,4
suspicion collision aviaire - fod faune,4
collision entre gse et aeronef,4
erreur affectation parking,4
stationnement avion inapproprie,4
fod sur voie de service,4
fod liquide,4
fod en zec,4
materiel genant sur zec,4
refus priorite avion pret a repousser,4
fod sur voie de circulation,4
encombrement zec,4
fod non aeronautique,4
"refus de priorite avion au repoussage, par vehicule",4
refus priorite avion pret au repoussage,4
vol deroute sur lys,4
dysfonctionnement ddpis,4
collision aviaire - sans dommage,4
presence indesirable sur une aire,4
fod sur r2,4
erreur d'affectation parking avion,4
fod sur b4,4
fod sur c63,4
erreur de cheminement,4
fod fuite kerosene,4
fod fuite hydraulique,4
baisse np sslia en np7 iso np9 avec impact sur le trafic,4
volet ouvert,4
collision animale 17r,4
collision aviaire sur 17r,4
probleme de mosquito,4
refus de priorite vehicule avion,4
passagers au telephone pendant l'avitaillement,4
materiel genant en e17,4
materiel genant l'avitailleur,4
collision aviare 36r,4
etat d'alerte - probleme de volets,4
fod sur b93,4
collision aviare 18l,4
non respect des procedures de depart,4
materiel genant e11,4
fod sur ts,4
materiel genant c83,4
materiel genant c81,4
fod sur a7,4
fod sur 36r,4
fod sur t4,4
materiel stationne en zone ops,3
etat de veille sslia - probleme technique avion,3
retour parking avion cause paxi,3
"remise de gaz - approche interrompue, meteo windshear",3
refus de priorite avion au roulage - non avere,3
perte des minimas de separation,3
incursion piste par avion,3
fod carburant,3
escabeau positionne sur cheminement pax,3
repoussage non conforme - rupture fusible barre,3
deroutement sur lys cause meteo sur gva,3
perte de separation a la piste att/dec,3
conflit entre repoussage et roulage avions,3
repoussage dangereux,3
paxi debarque,3
fod - presence de visserie et boulonnerie,3
fod - gasoil gse,3
repoussage sans clairance,3
"repoussage non conforme, rupture fusible",3
decouverte trappe gpu ouverte a l'arrivee a lys,3
deroutements sur lys cause meteo a gnb,3
stationnement gse genant,3
decouverte d'un dommage sur aeronef,3
parking avion encombre de materiels,3
collision entre vehicules,3
fod sur r4,3
vol deroute sur mrs,3
coupure reseau informatique,3
casse fusible sur barre de repoussage,3
erreur de chargement,3
erreur de cheminement avion,3
"paxi - passager indiscipline, debarque",3
avion foudroye,3
sortie de piste,3
deroutement sur lys cause meteo a cmf,3
fod - poubelle,3
fod - carburant,3
fod sur d41,3
encombrement parking c83,3
fod sur c83,3
filet de soute vrac ouvert a l'arrivee a lys,3
materiel genant acces avitailleur,3
baisse np sslia np5 iso np9 sans impact sur le trafic,3
fod sur tb,3
fod sur l19,3
poubelle air arabia abandonnee sur l'aire de trafic,3
encombrement zec par materiel d'assistance en escale stationne,3
stationnement gse genant - gene au positionnement de l'avitailleur,3
baisse np sslia np7 iso np9 pas d'impact sur le trafic,3
dangerosite escaliers passerelles t1b,3
fod sur e17,3
baisse en np5 iso np7 avec impact ops np-1,3
baisse np sslia en np7 iso np9 sans impact operationnel,3
difficulte a joindre le pole trafic,3
materiel mal range,3
fod sur aire de trafic (poubelle compagnie),3
panne lecteur badge,3
collision aviaire - pas d'oiseau retrouve,3
tractage non conforme,3
probleme platine balisage,3
fumee moteur avion,3
collision aviaire 17r non signalee par pilote,3
collision aviaire lyn,3
fuite kerosene,3
fod poubelle sur aire de trafic,3
fod sur e11,3
fuite hydraulique sur loader,3
fuite hydraulique loader,3
fod sur b18,3
crevaison avion,3
fod sur e15,3
fod sur d23,3
refus de priorite,3
fuite hydraulique en d41,3
fod sur t3,3
fuite hydraulique sur l13,3
collision aviaire en 35l,3
fod sur c23,3
fod sur b71,3
fod sur d22,3
collision aviaire sur piste 17l,3
fod sur a32,3
intensite balisage 35r trop forte,3
lutte aviaire injoignable,3
erreur de repoussage en b16,3
fod sur tj.,3
fod sur piste 36r,3
fod sur a23,3
debordement de kerosene,3
fod sur j11,3
graviers sur a7,3
erreur de repoussage b10,3
materiel genant b73,3
materiel genant b93.,3
refus de priorite camionnette,3
materiel genant l13,3
collision animale sur 18l,3
vehicule coupe la route,3
materiel sur voie de circulation,3
collision aviaire 36r et 36l,3
vehicule coupe la route a un avion,3
recherche oiseau sur 18r,3
deversement kerozene en a23,3
collision vehicule/installation,3
circulation en trottinette electrique sur l'aire de trafic,2
baisse np sslia np7 puis np5 puis np7 iso np9 sans impact operationnel,2
probleme technique avion - etat d'alerte sslia,2
conflit lors d'un repoussage avec un autre avion au roulage,2
baisse np sslia np7 iso np9 - sans impact operationnel,2
baisse np sslia np7 iso np9 - avec impact operationnel,2
fod aeronautique - vis avion sur piste,2
fod - visseries boulonneries,2
dommage avion constate a l'arrivee,2
deroutement sur lys cause medicale,2
retour parking suite probleme technique,2
deroutement sur lys cause couvre feux a gva,2
paxi a l'arrivee,2
non respect des regles de securite pendant l'avitaillement,2
stationnement non conforme cause bosse,2
erreur de stationnement avion,2
retour parking avion cause probleme technique,2
fod - presence de boulonnerie,2
alarme incursion piste erronee,2
stationnement degivreuses sur zone de rassemblement,2
encombrement voie de circulation essencier,2
fod - visserie,2
fod - glycol,2
"fod - glycol, point de parking contamine apres degivrage",2
deroutement sur lys cause meteo sur cdg,2
probleme technique avion - etat de veille sslia,2
5 deroutements sur lys cause meteo sur gva,2
deroutement su lys cause meteo sur lyn,2
intrusion cote piste,2
suspicion eei,2
rapprochement aeronef suite remise de gaz,2
dysfonctionnement balisage travaux,2
retour terrain cause panne hydraulique,2
laser lors de l'approche,2
deroutement sur lys cause couvre feu sur gva,2
perte de separation a la piste att/att,2
deroutement sur lys cause meteo a gva,2
paxi - passager alcoolise,2
remise de gaz cause piste occupee,2
erreur de chargement constate a l'arrivee a lys,2
echauffement train d'atterrissage,2
deroutement sur lys cause meteo sur mrs,2
baisse np - intervention zva,2
